チャーリー,,「文書作成の魔道具」を起動した
チャーリー,文書作成の魔道具,「会議の資料」を作成した
チャーリー,,「帳簿の魔道具」を起動した
チャーリー,帳簿の魔道具,「会議で使う図表」を作成した
チャーリー,,「帳簿の魔道具」を停止した
チャーリー,,「画像編集の魔道具」を起動した
チャーリー,画像編集の魔道具,「資料の添付画像」を作成した
チャーリー,,「画像編集の魔道具」を停止した
チャーリー,zipの呪文,「会議の資料」と「資料の添付画像」を「会議の書物」に封印した
チャーリー,,「mailの魔道具」を起動した
チャーリー,mailの魔道具,「村長への手紙」を作成した
チャーリー,mailの魔道具,村長に「村長への手紙」と「会議の書物」を送った
チャーリー,,「mailの魔道具」を停止した
チャーリー,,「遠距離会話の魔道具」を起動した
チャーリー,遠距離会話の魔道具,遠隔の魔術会議に参加した
チャーリー,遠距離会話の魔道具,遠隔の魔術会議から退出した
チャーリー,,「遠距離会話の魔道具」を停止した
チャーリー,topの呪文,魔力の使用状況を確認した
チャーリー,psの呪文,動作中の呪文を確認した
チャーリー,killの呪文,暴走していた呪文を停止した
チャーリー,,「browserの魔道具」を起動した
チャーリー,browserの魔道具,「転送の呪文」を調べた
チャーリー,browserの魔道具,「scpの呪文」を調べた
チャーリー,browserの魔道具,「結界の張り方」を調べた
チャーリー,browserの魔道具,「firewallの魔道具」を調べた
チャーリー,,「browserの魔道具」を停止した
チャーリー,firewallの魔道具,村の外からの呪文に対する結界を張った
チャーリー,firewallの魔道具,村の外への呪文に対する結界を弱くした
チャーリー,dfの呪文,自宅の本棚の使用状況を調べた
チャーリー,rmの呪文,不要な書物を消した
チャーリー,pingの呪文,故郷の村へ呪文を送信できるか試した
チャーリー,sshの呪文,故郷の村にある自分の本棚を調べた
チャーリー,scpの呪文,故郷の村にある「チャーリーの日記」を自宅の本棚に転送した
チャーリー,文書作成の魔道具,「チャーリーの日記」を編集した
チャーリー,chmodの呪文,「チャーリーの日記」を守る結界を張った
チャーリー,,「文書作成の魔道具」を停止した