デイヴ,rsyncの呪文,自宅の「薬品の在庫記録」と研究所の「薬品の在庫記録」を同期した
デイヴ,cdの呪文,研究所に移動した
デイヴ,cdの呪文,研究所の作業室に移動した
デイヴ,lsの呪文,研究所の書庫の中にある全ての書物を確認した
デイヴ,rmの呪文,不要な書物を消した
デイヴ,mkdirの呪文,新しい魔法研究のための書庫を作成した
デイヴ,pipの呪文,「matplotlibの魔法の書」を入手した
デイヴ,pipの呪文,「scikit-learnの魔法の書」を入手した
デイヴ,vimの呪文,「人工知能の魔法の書」を作成した
デイヴ,pythonの呪文,「matplotlibの魔法の書」を展開した
デイヴ,pythonの呪文,「scikit-learnの魔法の書」を展開した
デイヴ,pythonの呪文,「人工知能の魔法の書」を起動した
デイヴ,cdの呪文,自宅に戻った
デイヴ,wgetの呪文,「webの秘伝書」を入手した
デイヴ,unzipの呪文,圧縮された「webの秘伝書」を解放した
デイヴ,catの呪文,「webの秘伝書」を閲覧した
デイヴ,headの呪文,「webの秘伝書」の最初のページを確認した
デイヴ,grepの呪文,「webの秘伝書」から「nginxの魔法陣」を探し出した
デイヴ,chmodの呪文,「webの秘伝書」を守る結界を張った
デイヴ,pipの呪文,「jinja2の魔法の書」を入手した
デイヴ,aptの呪文,「nginxの魔法陣」を習得した
デイヴ,systemctlの呪文,「nginxの魔法陣」を起動した
デイヴ,systemctlの呪文,「nginxの魔法陣」の自動起動を設定した
デイヴ,curlの呪文,「調合のレシピ弐」を取り寄せた
デイヴ,awkの呪文,「調合のレシピ弐」の重要な情報を抜き出した
デイヴ,sedの呪文,「調合のレシピ弐」を編集した
デイヴ,echoの呪文,「調合のレシピ弐」に新たな情報を追記した
デイヴ,findの呪文,失われた「調合のレシピ壱」を探し出した
デイヴ,tarの呪文,「調合のレシピ壱」と「調合のレシピ弐」を「調合の書」に封印した
デイヴ,chmodの呪文,「調合の書」を守る結界を張った
デイヴ,idの呪文,自分の所属を確認した
デイヴ,ipの呪文,自宅の住所を確認した
デイヴ,ssの呪文,呪文のやり取りを調査した
デイヴ,pingの呪文,遠方の村にいる仲間に呪文を送信できるか確認した
デイヴ,ncの呪文,遠方の村と魔力通信を確立した